magnitude,date,felt,cdi,mmi,alert,status,tsunami,sig,net,sources,types,nst,dmin,rms,gap,magType,depth,latitude,longitude,distanceKM,continent,country,subnational,timezone,year,month,day
4.8,2024-09-17 00:49:42,1893,6,5,green,reviewed,0,994,us,",us,tx,",",dyfi,ground-failure,losspager,moment-tensor,oaf,origin,phase-data,shakemap,",37,0.287,0.48,70.0,mww,4.044,32.3984,-102.044,33,North America,United States of America (the),Texas,-300,2024,9,17
5.1,2024-09-17 00:49:42,2042,6,5,green,reviewed,0,1040,tx,",us,tx,",",dyfi,ground-failure,losspager,moment-tensor,oaf,origin,phase-data,shakemap,",24,0.0,0.1,38.0,ml,6.1279,32.414,-102.057,34,North America,United States of America (the),Texas,-300,2024,9,17
3.7,2024-09-16 11:22:08,1580,4,4,Unknown,reviewed,0,591,ci,",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",135,0.03294,0.28,99.0,ml,10.9,34.0678,-118.807,6,North America,United States of America (the),California,-420,2024,9,16
3.9,2024-09-14 17:01:06,5,3,4,green,reviewed,0,236,tx,",us,tx,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",38,0.0,0.1,65.0,ml,6.2024,31.647,-104.45,58,North America,United States of America (the),Texas,-300,2024,9,14
4.1,2024-09-14 17:01:06,4,3,4,green,reviewed,0,260,us,",us,",",dyfi,losspager,origin,phase-data,shakemap,",28,0.043,0.26,67.0,mb,8.814,31.6323,-104.473,60,North America,United States of America (the),Texas,-300,2024,9,14
3.23,2024-09-13 11:56:39,472,4,3,Unknown,reviewed,0,340,ci,",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",131,0.03137,0.26,88.0,ml,10.95,34.0637,-118.812,6,North America,United States of America (the),California,-420,2024,9,13
3.43,2024-09-12 16:37:32,234,4,3,Unknown,reviewed,0,277,ci,",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",111,0.02408,0.29,92.0,ml,11.02,34.0588,-118.799,5,North America,United States of America (the),California,-420,2024,9,12
3.44,2024-09-12 15:40:49,225,4,3,Unknown,reviewed,0,272,ci,",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",115,0.02561,0.31,84.0,ml,10.93,34.0682,-118.8,7,North America,United States of America (the),California,-420,2024,9,12
4.69,2024-09-12 14:28:21,18592,5,5,green,reviewed,1,818,ci,",ew,ci,at,us,",",dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,oaf,origin,phase-data,scitech-link,shake-alert,shakemap,",145,0.03238,0.29,101.0,mw,11.35,34.0703,-118.808,6,North America,United States of America (the),California,-420,2024,9,12
3.5,2024-09-11 08:31:01,0,0,3,Unknown,reviewed,0,188,nn,",us,nn,",",origin,phase-data,shakemap,",14,0.301,0.1665,147.85,ml,11.8,37.6127,-115.303,7,North America,United States of America (the),Nevada,-420,2024,9,11
3.8,2024-09-10 18:03:00,5,3,4,green,reviewed,0,224,tx,",tx,us,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",32,0.1,0.2,66.0,ml,6.1511,31.641,-104.356,56,North America,United States of America (the),Texas,-300,2024,9,10
3.3,2024-09-09 09:50:37,1,3,4,Unknown,reviewed,0,168,tx,",tx,us,",",dyfi,origin,phase-data,shakemap,",34,0.0,0.1,70.0,ml,7.0227,31.586,-104.55,61,North America,United States of America (the),Texas,-300,2024,9,9
3.8,2024-09-08 02:37:22,2,3,4,Unknown,reviewed,0,223,tx,",us,tx,",",dyfi,moment-tensor,origin,phase-data,shakemap,",45,0.0,0.1,66.0,ml,6.0999,31.663,-104.452,57,North America,United States of America (the),Texas,-300,2024,9,8
3.9,2024-09-08 02:37:22,1,3,4,Unknown,reviewed,0,234,us,",us,",",dyfi,origin,phase-data,shakemap,",32,0.048,0.23,67.0,ml,10.0,31.6305,-104.466,61,North America,United States of America (the),Texas,-300,2024,9,8
3.35,2024-09-08 02:16:27,13,4,4,Unknown,reviewed,0,178,uu,",uu,us,",",dyfi,moment-tensor,origin,phase-data,shakemap,",41,0.08871,0.19,92.0,ml,4.98,41.5833,-112.42,15,North America,United States of America (the),Utah,-360,2024,9,8
3.94,2024-09-07 17:34:20,2756,5,5,Unknown,reviewed,1,769,ci,",ci,ew,ci,at,us,",",associate,dyfi,focal-mechanism,impact-link,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",171,0.01545,0.23,15.0,mw,4.84,34.0297,-117.586,4,North America,United States of America (the),California,-420,2024,9,7
3.45,2024-09-07 17:05:45,824,4,4,Unknown,reviewed,0,513,ci,",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",152,0.01628,0.22,20.0,ml,5.96,34.0227,-117.593,5,North America,United States of America (the),California,-420,2024,9,7
3.09,2024-09-07 14:31:32,6,4,4,Unknown,reviewed,0,149,nc,",nc,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",76,0.006999,0.08,39.0,ml,-0.25,38.7893,-122.734,3,North America,United States of America (the),California,-420,2024,9,7
4.28,2024-09-07 14:30:36,241,5,5,green,reviewed,1,398,nc,",ew,nc,at,us,",",dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",121,0.009855,0.1,17.0,mw,0.16,38.7765,-122.746,1,North America,United States of America (the),California,-420,2024,9,7
3.17,2024-09-07 06:03:42,11,3,2,Unknown,reviewed,0,158,ci,",ci,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,shakemap,",94,0.1793,0.32,143.0,ml,-0.1,33.7255,-118.599,22,Unknown,United States of America (the),Unknown,-420,2024,9,7
3.47,2024-09-06 12:07:06,49,3,4,Unknown,reviewed,0,202,nc,",nc,nn,us,",",dyfi,focal-mechanism,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shakemap,",32,0.1282,0.12,53.0,mw,5.29,38.6982,-119.598,18,North America,United States of America (the),California,-420,2024,9,6
3.32,2024-09-05 20:04:29,27,3,3,Unknown,reviewed,0,178,nc,",nc,us,",",dyfi,focal-mechanism,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shakemap,",66,0.02036,0.12,49.0,mw,11.39,36.07,-120.167,8,North America,United States of America (the),California,-420,2024,9,5
3.1,2024-09-04 21:31:11,0,0,3,Unknown,reviewed,0,148,nn,",us,nn,",",origin,phase-data,shakemap,",24,0.196,0.187,114.78,ml,8.3,37.741,-117.142,8,North America,United States of America (the),Nevada,-420,2024,9,4
3.1,2024-09-04 21:31:10,0,0,3,Unknown,reviewed,0,148,us,",us,",",origin,phase-data,shakemap,",10,0.453,0.67,124.0,ml,5.0,37.743,-117.134,9,North America,United States of America (the),Nevada,-420,2024,9,4
3.0,2024-09-04 21:30:35,0,0,3,Unknown,reviewed,0,138,us,",us,",",origin,phase-data,shakemap,",32,0.5,0.69,38.0,ml,5.0,37.7769,-117.067,16,North America,United States of America (the),Nevada,-420,2024,9,4
3.46,2024-09-03 12:11:58,11,3,3,Unknown,reviewed,0,187,nc,",nc,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",34,0.1385,0.07,64.0,ml,9.43,37.432,-118.758,14,North America,United States of America (the),California,-420,2024,9,3
3.14,2024-09-02 11:34:26,5,3,2,Unknown,reviewed,0,153,ci,",ci,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,shakemap,",89,0.1739,0.37,138.0,ml,-0.11,33.7102,-118.628,21,Unknown,United States of America (the),Unknown,-420,2024,9,2
3.4,2024-09-01 11:01:44,71,3,4,Unknown,reviewed,0,198,nc,",nc,nn,us,",",dyfi,focal-mechanism,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shakemap,",35,0.02849,0.05,64.0,mw,3.36,37.4332,-118.469,7,North America,United States of America (the),California,-420,2024,9,1
3.5,2024-09-01 08:47:07,4,3,3,Unknown,reviewed,0,190,us,",us,mb,",",dyfi,origin,phase-data,shakemap,",34,0.441,0.43,52.0,ml,23.624,47.3504,-113.16,31,North America,United States of America (the),Montana,-360,2024,9,1
3.4,2024-08-31 10:01:04,0,0,4,Unknown,reviewed,0,178,tx,",us,tx,",",moment-tensor,origin,phase-data,shakemap,",25,0.1,0.1,50.0,ml,6.0999,31.608,-103.99,39,North America,United States of America (the),Texas,-300,2024,8,31
