iter	Passed	Remaining
0	7	3924
1	15	3914
2	23	3940
3	31	3928
4	38	3859
5	45	3783
6	54	3818
7	62	3833
8	70	3830
9	78	3832
10	85	3814
11	93	3795
12	100	3768
13	107	3749
14	115	3735
15	123	3728
16	130	3705
17	138	3703
18	145	3688
19	153	3672
20	160	3667
21	167	3649
22	175	3636
23	182	3621
24	189	3609
25	197	3597
26	204	3587
27	212	3576
28	219	3565
29	226	3555
30	234	3544
31	241	3530
32	248	3517
33	255	3505
34	263	3497
35	271	3495
36	278	3487
37	285	3476
38	293	3465
39	300	3456
40	307	3447
41	315	3437
42	322	3428
43	330	3420
44	337	3411
45	344	3403
46	352	3396
47	354	3341
48	362	3332
49	369	3326
50	377	3321
51	385	3318
52	392	3313
53	400	3311
54	409	3310
55	416	3303
56	424	3296
57	431	3287
58	438	3279
59	446	3270
60	453	3263
61	460	3255
62	468	3247
63	475	3238
64	482	3227
65	489	3220
66	496	3211
67	504	3206
68	512	3200
69	519	3193
70	527	3185
71	534	3176
72	541	3169
73	549	3161
74	556	3154
75	563	3146
76	571	3138
77	578	3128
78	585	3122
79	593	3113
80	600	3106
81	607	3098
82	615	3090
83	622	3081
84	629	3074
85	636	3065
86	644	3059
87	652	3055
88	660	3047
89	667	3041
90	674	3033
91	682	3025
92	689	3016
93	697	3011
94	704	3002
95	711	2995
96	719	2987
97	726	2979
98	733	2971
99	740	2962
100	748	2955
101	755	2947
102	762	2940
103	770	2934
104	778	2929
105	785	2920
106	792	2912
107	800	2904
108	807	2897
109	814	2889
110	822	2880
111	829	2872
112	836	2864
